"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Silent",78.7,73.7,67.1,56.9,82.7,78,74,81,41.1,38.7,41.2,80.2
"1989:Q3","BabyBoom",20.9,25.8,32.3,40.9,17.1,21.9,25.6,18.5,57.3,60.4,55.2,19.6
"1989:Q3","GenX",0.4,0.5,0.6,2.3,0.2,0,0.4,0.4,1.5,0.9,3.6,0.2
"1989:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1989:Q4","Silent",77.8,72.9,66.4,55.9,81.2,77.9,73.1,79.9,41.5,39.6,40,81.3
"1989:Q4","BabyBoom",21.2,25.9,31.5,41.5,18.6,21.8,26.2,19.4,56.5,59.1,55.6,18.6
"1989:Q4","GenX",1,1.1,2.1,2.6,0.2,0.3,0.6,0.7,2,1.3,4.4,0.1
"1989:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q1","Silent",78.6,73.6,67.8,55.4,84.9,76.8,74.7,80.1,41.2,39.5,39.3,80.7
"1990:Q1","BabyBoom",20.9,25.7,31.5,41.4,15.1,22.7,25.2,19.3,56.7,59.4,55.4,19.3
"1990:Q1","GenX",0.5,0.7,0.7,3.1,0,0.5,0,0.6,2,1.1,5.2,0.1
"1990:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q2","Silent",78.2,73.2,66.2,54.5,87.3,75.7,76.2,79.7,41.2,39.7,38.8,81.1
"1990:Q2","BabyBoom",20.9,25.7,31.5,42,12.7,23.9,23.8,19.6,55.6,57.9,55.3,18.8
"1990:Q2","GenX",0.9,1.2,2.3,3.5,0,0.4,0,0.7,3.1,2.4,5.9,0.1
"1990:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q3","Silent",79.5,74.1,67.3,54.5,97.1,73.3,78.8,81.1,40.6,39.5,37.1,83.7
"1990:Q3","BabyBoom",19.9,25,32.1,41.8,2.9,25.7,21.2,18.2,56.8,59.1,56.6,16.2
"1990:Q3","GenX",0.6,0.8,0.6,3.7,0,1,0,0.7,2.5,1.4,6.3,0
"1990:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q4","Silent",78.7,73.4,68.2,54.4,89.6,74.7,75.2,79.3,40.5,39.5,36.4,82.5
"1990:Q4","BabyBoom",20.8,25.9,31.8,41.7,10.4,24.7,24.8,19.7,57.2,59.8,56.1,17.4
"1990:Q4","GenX",0.4,0.7,0,3.9,0,0.6,0,1,2.3,0.7,7.5,0.1
"1990:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q1","Silent",76.5,71.6,66.4,53.5,80.1,77.5,69.4,77.3,40.8,39.8,36.7,81.8
"1991:Q1","BabyBoom",22.7,27.3,32.5,42,19.9,22.5,29.7,21.4,56.6,59.4,54.5,18.1
"1991:Q1","GenX",0.9,1.1,1.1,4.5,0,0,0.9,1.4,2.6,0.8,8.8,0.1
"1991:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q2","Silent",76.7,71.7,65.5,53.2,82.5,76.7,71.1,77.9,40.3,39.4,36,82.1
"1991:Q2","BabyBoom",22.4,27.1,33.1,42.2,17.5,22.9,28.5,20.9,56.6,59.3,54.6,17.8
"1991:Q2","GenX",0.9,1.2,1.4,4.6,0,0.5,0.4,1.3,3.1,1.3,9.5,0.1
"1991:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q3","Silent",77,71.9,66.7,53.6,80.9,76.8,71,77.5,40.1,39.1,35.8,79.8
"1991:Q3","BabyBoom",22.4,27.2,33.3,41.7,19.1,22.5,28.5,21.1,57.3,60.2,54.8,20
"1991:Q3","GenX",0.6,0.9,0,4.6,0,0.7,0.5,1.4,2.7,0.7,9.5,0.1
"1991:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q4","Silent",74.9,70.1,65,53.6,71.5,78,67.6,75.8,39.7,38.7,35.4,77.3
"1991:Q4","BabyBoom",23.9,28.5,34.3,41.7,26,21.6,30.8,22.7,57.1,59.9,54.7,22.6
"1991:Q4","GenX",1.1,1.4,0.7,4.6,2.5,0.4,1.5,1.5,3.2,1.3,9.9,0.2
"1991:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q1","Silent",74.7,69.9,63.2,53,73.7,76.3,69.4,76.9,39.5,38.5,35.3,77.9
"1992:Q1","BabyBoom",24.1,28.5,34.5,42.2,24.9,23.4,29.6,21.8,56.4,58.7,55.2,21.9
"1992:Q1","GenX",1.2,1.6,2.3,4.8,1.4,0.3,1,1.3,4.1,2.8,9.5,0.2
"1992:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q2","Silent",75.1,70.2,62.8,52.5,76.9,74.5,72.8,77.5,39.3,38.4,35,75.6
"1992:Q2","BabyBoom",23.8,28.2,34.3,42.5,23.1,25.1,26.6,21.2,56,58.1,55.7,23.8
"1992:Q2","GenX",1.1,1.6,2.9,5,0.1,0.3,0.6,1.3,4.6,3.5,9.3,0.6
"1992:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q3","Silent",75.4,70.3,63.6,53.4,75.9,73.5,75,77.1,38.8,38.1,34.1,73.4
"1992:Q3","BabyBoom",23.8,28.4,34.9,42,23.9,26.2,24.3,21.4,57.2,59.4,55.7,25.9
"1992:Q3","GenX",0.8,1.3,1.4,4.7,0.2,0.4,0.7,1.5,4,2.5,10.1,0.7
"1992:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q4","Silent",73,68.2,62.8,52.7,68.3,72.3,70,75.9,37.8,36.9,33.4,75.4
"1992:Q4","BabyBoom",25.7,30,35.7,42,28.4,27.4,28.8,22.2,57.3,59.7,55.7,23.9
"1992:Q4","GenX",1.3,1.8,1.5,5.3,3.3,0.4,1.2,1.9,4.9,3.5,10.9,0.7
"1992:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q1","Silent",71,66.5,58.9,50.6,67.4,71.6,68,75.8,37.4,36.2,33.5,75.1
"1993:Q1","BabyBoom",26.5,30.4,35.6,43.3,28.9,27.5,30.7,22.5,55.5,57.6,55,23.9
"1993:Q1","GenX",2.5,3.1,5.5,6.1,3.7,1,1.3,1.7,7.1,6.2,11.5,1
"1993:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q2","Silent",70.6,65.9,58.3,50.1,66.6,70.7,66.7,76.2,36.4,35.1,32.6,75.7
"1993:Q2","BabyBoom",27,30.9,36.5,43.2,29.4,28.1,32.1,22.2,56,58.3,54.9,23.3
"1993:Q2","GenX",2.4,3.1,5.2,6.7,4,1.2,1.2,1.7,7.6,6.6,12.5,1
"1993:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q3","Silent",70.3,65.5,58.5,50,65.3,69.9,65.9,76.1,35.5,34.2,31.6,74.1
"1993:Q3","BabyBoom",27.4,31.4,37.2,42.9,30.2,28.8,33,22.1,56.9,59.5,54.7,25
"1993:Q3","GenX",2.3,3.1,4.3,7,4.5,1.3,1.2,1.8,7.7,6.4,13.7,0.9
"1993:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
